发震日期（北京时间）,经度(°),纬度(°),震源深度(Km),震级类型,震级,震中位置,事件类型
2020-10-30 21:00:41,26.90,37.90,5,mb,4.6,希腊佐泽卡尼索斯群岛,天然地震
2020-10-30 19:51:23,26.80,37.90,10,Ms,6.9,希腊佐泽卡尼索斯群岛,天然地震
2020-10-27 05:34:51,56.10,32.10,10,Ms,4.8,伊朗,天然地震
2020-10-24 19:34:15,49.00,35.60,10,Ms,4.8,伊朗西部,天然地震
2020-10-23 07:06:31,-35.00,52.70,10,Ms,4.9,北大西洋,天然地震
2020-10-22 07:00:50,20.45,37.07,12,Ms,5.1,地中海,天然地震
2020-10-20 21:43:14,-22.10,64.00,5,Ms,5.8,冰岛地区,天然地震
2020-10-14 19:06:15,54.50,27.30,10,mB,4.9,伊朗南部,天然地震
2020-10-12 19:47:20,52.00,39.60,60,Ms,4.0,里海,天然地震
2020-10-12 12:11:26,26.30,35.60,11,Ms,5.0,克里特岛,天然地震
2020-10-12 08:30:37,26.08,35.48,16,Ms,4.8,克里特岛,天然地震
2020-10-06 12:24:55,-39.90,32.80,10,Ms,5.1,北大西洋海岭,天然地震
2020-10-01 19:05:36,26.70,36.60,154,mB,5.3,多德卡尼斯群岛,天然地震
2020-9-29 12:08:03,51.20,31.50,10,Ms,5.0,伊朗,天然地震
2020-9-28 02:17:55,66.19,26.32,20,Ms,4.1,巴基斯坦,天然地震
2020-9-27 06:50:18,23.51,39.65,14,Ms,5.2,爱琴海,天然地震
2020-9-26 15:00:13,54.06,39.39,10,mB,4.9,土库曼斯坦,天然地震
2020-9-26 13:46:53,56.00,38.10,10,Ms,5.6,伊朗,天然地震
2020-9-21 03:07:59,33.26,37.87,5,Ms,5.2,土耳其,天然地震
2020-9-19 00:28:15,24.95,34.88,66,Ms,5.6,克里特岛,天然地震
2020-9-16 22:48:20,42.00,38.70,16,Ms,4.3,土耳其,天然地震
2020-9-07 05:34:26,55.10,37.00,10,Ms,5.3,伊朗,天然地震
2020-9-06 14:38:32,-27.71,47.70,11,Ms,5.2,北大西洋海岭,天然地震
2020-8-31 11:36:45,52.62,27.63,10,Ms,4.9,伊朗南部,天然地震
2020-8-29 08:18:24,19.96,40.11,7,Ms,4.3,希腊,天然地震
2020-8-25 20:15:54,52.44,27.69,10,Ms,4.1,波斯湾,天然地震
2020-8-17 15:26:57,23.21,36.84,103,mB,4.9,希腊南部,天然地震
2020-8-13 06:40:45,66.10,28.00,10,Ms,5.9,巴基斯坦,天然地震
2020-8-09 17:16:16,45.50,34.10,15,Ms,4.5,伊朗,天然地震
2020-8-07 14:15:36,6.30,36.50,10,Ms,4.9,阿尔及利亚,天然地震
2020-8-07 06:17:28,56.44,28.20,16,Ms,4.2,伊朗南部,天然地震
2020-8-04 17:37:30,38.11,37.92,5,Ms,5.6,土耳其,天然地震
2020-8-03 19:37:07,52.15,27.56,24,mB,5.0,波斯湾,天然地震
2020-7-27 19:12:34,55.60,27.13,26,Ms,4.3,伊朗南部,天然地震
2020-7-25 09:38:03,20.15,38.72,7,Ms,4.5,爱奥尼亚海,天然地震
2020-7-25 09:33:54,-41.80,30.80,8,Ms,5.0,北大西洋海岭,天然地震
2020-7-17 19:06:46,-27.70,48.00,10,Ms,4.5,北大西洋海岭,天然地震
2020-7-11 04:14:06,53.60,27.70,10,Ms,4.4,伊朗南部,天然地震
2020-7-08 13:18:57,16.10,51.60,6,Ms,4.6,波兰,天然地震
2020-7-07 09:10:32,58.06,25.93,27,Ms,4.6,伊朗南部,天然地震
2020-7-06 16:44:26,-33.00,37.00,10,mB,5.1,亚速尔群岛地区,天然地震
2020-6-29 12:06:22,28.20,36.60,77,Ms,4.6,多德卡尼斯群岛,天然地震
2020-6-29 01:43:26,27.72,36.30,93,mB,5.2,多德卡尼斯群岛,天然地震
2020-6-27 03:36:34,26.24,35.50,26,Ms,4.2,克里特岛,天然地震
2020-6-26 15:21:12,27.80,38.80,10,Ms,5.1,土耳其,天然地震
2020-6-25 18:03:27,43.72,38.57,15,Ms,5.1,土耳其,天然地震
2020-6-19 15:43:17,25.13,34.29,16,Ms,4.8,地中海,天然地震
2020-6-17 14:58:15,63.59,24.79,13,Ms,4.2,巴基斯坦海岸近海,天然地震
2020-6-16 22:30:18,34.00,26.95,10,Ms,5.3,埃及,天然地震
2020-6-16 04:12:52,25.18,34.46,10,mB,5.1,地中海,天然地震
2020-6-15 14:51:30,40.80,39.40,5,Ms,5.5,土耳其,天然地震
2020-6-15 02:06:01,53.50,27.80,10,Ms,5.3,伊朗南部,天然地震
2020-6-14 22:24:28,40.00,39.34,34,Ms,6.1,土耳其,天然地震
2020-6-14 07:15:04,53.40,27.60,10,Ms,4.5,伊朗南部,天然地震
2020-6-14 06:04:15,53.40,27.60,10,Ms,4.9,伊朗南部,天然地震
2020-6-10 01:18:12,53.50,27.70,10,Ms,5.8,伊朗南部,天然地震
2020-6-10 00:08:43,52.74,27.37,10,Ms,5.4,波斯湾,天然地震
2020-6-06 05:22:02,-27.54,45.11,10,Ms,5.3,北大西洋海岭,天然地震
2020-6-06 02:06:20,38.70,38.20,5,Ms,5.2,土耳其,天然地震
2020-6-03 17:03:27,25.49,34.27,28,Ms,5.4,地中海,天然地震
2020-6-03 16:16:51,46.10,33.50,10,mB,5.7,伊朗,天然地震
2020-5-30 06:54:00,63.98,24.90,10,Ms,3.9,巴基斯坦海岸近海,天然地震
2020-5-27 09:09:49,25.42,34.06,15,Ms,4.7,地中海,天然地震
2020-5-24 17:11:26,50.80,30.30,10,Ms,5.1,伊朗南部,天然地震
2020-5-24 06:50:08,25.35,34.08,13,Ms,5.2,地中海,天然地震
2020-5-22 11:40:27,25.46,34.20,26,Ms,4.7,地中海,天然地震
2020-5-21 07:43:12,19.84,35.15,14,Ms,5.3,地中海,天然地震
2020-5-19 17:24:42,25.60,34.00,10,Ms,5.2,地中海东部,天然地震
2020-5-19 07:22:31,25.30,33.98,13,Ms,5.6,地中海,天然地震
2020-5-18 19:48:05,25.50,34.10,10,Ms,4.6,地中海东部,天然地震
2020-5-18 12:18:16,25.26,33.99,27,Ms,4.9,地中海,天然地震
2020-5-15 06:33:33,25.70,34.20,10,mB,4.9,地中海东部,天然地震
2020-5-09 18:52:48,20.49,37.23,15,Ms,4.8,地中海,天然地震
2020-5-08 11:14:19,25.51,33.62,15,Ms,5.0,地中海东部,天然地震
2020-5-08 04:18:21,52.00,35.80,7,Ms,4.6,伊朗,天然地震
2020-5-06 16:07:59,48.20,33.80,10,Ms,4.6,伊朗西部,天然地震
2020-5-06 01:20:30,25.12,33.76,40,mB,5.0,地中海,天然地震
2020-5-03 13:54:40,25.62,33.80,31,Ms,4.6,地中海东部,天然地震
2020-5-03 00:44:23,25.40,33.84,23,Ms,4.9,地中海,天然地震
2020-5-03 00:12:57,24.99,33.82,31,Ms,4.8,地中海,天然地震
2020-5-02 22:21:22,25.18,33.98,18,mB,5.2,地中海,天然地震
2020-5-02 21:45:16,25.18,33.67,27,mb,4.8,地中海,天然地震
2020-5-02 21:33:46,25.37,33.96,16,mb,5.4,地中海,天然地震
2020-5-02 20:51:05,25.67,34.35,10,Ms,6.8,地中海东部,天然地震
2020-5-02 04:28:08,57.00,28.40,10,Ms,4.5,伊朗南部,天然地震
2020-4-30 01:01:33,45.10,35.40,10,Ms,4.4,伊拉克,天然地震
2020-4-25 06:04:16,27.50,45.90,22,Ms,4.6,罗马尼亚,天然地震
2020-4-24 21:15:59,27.56,35.19,57,Ms,4.9,地中海东部,天然地震
2020-4-17 20:05:08,-35.14,52.15,56,Ms,5.0,北大西洋,天然地震
2020-4-15 15:40:03,35.50,35.90,10,mb,4.7,地中海,天然地震
2020-4-11 18:22:55,26.20,35.20,21,Ms,4.5,克里特岛,天然地震
2020-4-04 02:15:41,35.50,35.80,10,Ms,4.5,地中海,天然地震
2020-4-03 13:44:25,43.50,38.90,13,Ms,4.6,土耳其,天然地震
2020-3-27 14:40:40,56.67,28.30,35,Ms,5.0,伊朗南部,天然地震
2020-3-26 15:09:23,5.70,35.80,10,Ms,4.9,阿尔及利亚,天然地震
2020-3-22 14:01:17,15.68,46.22,12,Ms,4.8,克罗地亚,天然地震
2020-3-22 13:24:01,15.61,46.04,20,Ms,5.6,南斯拉夫,天然地震
2020-3-21 08:49:46,20.53,39.09,12,Ms,5.8,希腊,天然地震
2020-3-20 01:53:32,39.00,38.40,21,Ms,4.9,土耳其,天然地震
2020-3-16 14:33:10,-30.18,60.45,7,Ms,5.0,北大西洋,天然地震
2020-3-16 06:04:18,54.75,27.42,10,Ms,5.4,伊朗南部,天然地震
2020-3-13 15:02:05,47.50,32.70,10,Ms,4.5,伊朗,天然地震
2020-3-08 23:38:24,-33.50,57.20,10,Ms,4.7,北大西洋,天然地震
2020-3-08 17:47:05,48.80,32.20,10,Ms,4.5,伊朗西部,天然地震
2020-3-08 04:58:02,-16.70,32.20,10,Ms,5.2,马德拉地区,天然地震
2020-3-06 03:59:23,66.75,28.20,10,Ms,4.5,巴基斯坦,天然地震
2020-2-27 22:36:10,27.53,34.93,22,Ms,4.7,地中海东部,天然地震
2020-2-26 07:03:33,38.58,37.70,10,Ms,4.9,土耳其,天然地震
2020-2-24 08:33:46,56.60,31.24,9,Ms,4.7,伊朗,天然地震
2020-2-24 00:00:34,44.31,38.44,40,Ms,6.2,土耳其,天然地震
2020-2-23 13:52:58,43.81,38.27,31,Ms,5.8,土耳其,天然地震
2020-2-19 00:09:21,27.89,38.64,15,Ms,5.0,土耳其,天然地震
2020-2-17 02:02:13,44.50,38.40,10,mB,5.1,土耳其,天然地震
2020-2-16 20:30:43,55.33,27.27,19,Ms,5.2,伊朗南部,天然地震
2020-2-15 21:49:45,50.60,40.10,10,Ms,4.6,里海,天然地震
2020-2-15 00:02:10,26.44,35.43,13,Ms,5.0,克里特岛,天然地震
2020-2-11 06:46:47,27.83,35.18,8,Ms,4.9,地中海东部,天然地震
2020-2-07 11:11:42,25.97,34.72,29,Ms,4.3,克里特岛,天然地震
2020-2-06 17:24:11,21.10,38.88,22,Ms,4.8,希腊,天然地震
